name;lastName;bornOn;gender;city
Henry;Andrews;9/2/1990;F;CITY1
Marvin;Mcgee;11/10/1990;M;CITY1
Jack;Warner;12/26/1994;F;CITY1
Denis;Owen;4/23/1999;F;CITY1
Enoch;Truscott;5/17/1996;F;CITY1
Abdul;Slater;11/4/1980;M;CITY1
Erick;Todd;9/19/1981;F;CITY1
Benny;Antcliff;2/6/1996;M;CITY1
Mark;Buckley;12/14/1982;M;CITY1
Luke;Silva;12/21/1987;M;CITY1
Jacob;Wright;2/17/1996;F;CITY1
Bob;Jackson;5/2/1995;M;CITY1
Josh;Knight;8/27/1987;F;CITY1
Percy;Warner;12/20/1980;F;CITY1
Logan;Driscoll;10/3/1994;M;CITY1
Benjamin;Durrant;1/21/1999;M;CITY1
Kieth;Morris;10/10/1994;F;CITY1
Danny;Cox;9/8/1991;M;CITY1
Jack;Rogers;6/29/1980;M;CITY1
Gil;Cattell;1/11/1983;M;CITY1
Ron;Thomson;3/9/1999;F;CITY1
Julian;Walsh;9/17/1980;F;CITY1
Abdul;Woodley;3/18/1992;M;CITY1
Fred;Bell;12/27/1996;F;CITY1
Harry;Ralph;8/20/1993;F;CITY1
Brad;Woodcock;4/29/1981;F;CITY1
Domenic;Williams;10/21/1982;F;CITY1
Maxwell;Gilmore;7/26/1992;F;CITY1
Tyler;Reynolds;2/16/1997;F;CITY1
Wade;Morris;3/21/1998;F;CITY1
Gil;Hardwick;1/14/1986;F;CITY1
Nick;Mann;8/4/1989;F;CITY1
Denis;Rowan;9/15/1982;M;CITY1
Kieth;Young;9/9/1982;F;CITY1
Hank;Ward;6/27/1984;F;CITY1
Erick;Dempsey;10/17/1980;F;CITY1
Eduardo;Redwood;9/9/1987;M;CITY1
Eduardo;Seymour;12/8/1987;M;CITY1
William;Goodman;5/13/1991;F;CITY1
Javier;Greenwood;2/24/1987;M;CITY1
Lucas;Salt;1/2/1985;M;CITY1
Nick;Lee;7/21/1984;M;CITY1
Rick;Cox;10/14/1994;M;CITY1
Fred;Fox;10/2/1996;M;CITY1
Enoch;Logan;11/25/1990;M;CITY1
Jacob;Lindop;2/23/1983;F;CITY1
Owen;Clarke;10/21/1995;F;CITY1
Ethan;Ashley;4/2/1998;M;CITY1
Rufus;Atkinson;7/4/1987;F;CITY1
Maxwell;Cooper;11/7/2000;F;CITY1
Roger;Todd;11/27/1994;F;CITY1
Sebastian;Varley;12/24/1989;F;CITY1
Josh;Hall;5/26/1991;F;CITY1
Daron;Gonzales;3/3/1984;F;CITY1
Chadwick;Edmonds;1/31/1985;F;CITY1
Abdul;Robinson;6/4/1989;M;CITY1
Benny;Cattell;10/8/2000;M;CITY1
Jacob;Mcleod;11/21/1991;M;CITY1
Matt;Eyres;1/9/1986;F;CITY1
Matthew;Hall;12/27/1988;M;CITY1
Benny;Ryan;12/6/1990;M;CITY1
Matt;Reynolds;11/23/1985;F;CITY1
Mike;Page ;12/19/1993;F;CITY1
George;Heaton;1/20/1997;F;CITY1
Gabriel;Rogan;11/6/2000;M;CITY1
